[2026-03-10T15:50:58.914862] status=running completed=0/1200 metric=constrained_operational best_episode=None best_score=None
[2026-03-10T15:51:04.534950] status=running completed=1/1200 metric=constrained_operational best_episode=0 best_score=-16.631944444444443
[2026-03-10T15:51:49.356113] status=running completed=51/1200 metric=constrained_operational best_episode=50 best_score=83.61236814840878
[2026-03-10T15:52:36.003895] status=running completed=101/1200 metric=constrained_operational best_episode=100 best_score=95.61531151596941
[2026-03-10T15:53:22.981740] status=running completed=151/1200 metric=constrained_operational best_episode=150 best_score=97.9201858813701
[2026-03-10T15:54:09.562143] status=running completed=201/1200 metric=constrained_operational best_episode=150 best_score=97.9201858813701
[2026-03-10T15:54:54.933179] status=running completed=251/1200 metric=constrained_operational best_episode=250 best_score=121.43972222222223
[2026-03-10T15:55:43.268549] status=running completed=301/1200 metric=constrained_operational best_episode=250 best_score=121.43972222222223
[2026-03-10T15:56:29.021226] status=running completed=351/1200 metric=constrained_operational best_episode=250 best_score=121.43972222222223
[2026-03-10T15:57:12.849823] status=running completed=401/1200 metric=constrained_operational best_episode=250 best_score=121.43972222222223
[2026-03-10T15:57:59.816125] status=running completed=451/1200 metric=constrained_operational best_episode=250 best_score=121.43972222222223
[2026-03-10T15:58:53.125844] status=running completed=501/1200 metric=constrained_operational best_episode=250 best_score=121.43972222222223
[2026-03-10T15:59:37.980603] status=running completed=551/1200 metric=constrained_operational best_episode=250 best_score=121.43972222222223
[2026-03-10T16:00:23.847124] status=running completed=601/1200 metric=constrained_operational best_episode=250 best_score=121.43972222222223
[2026-03-10T16:01:09.261889] status=running completed=651/1200 metric=constrained_operational best_episode=250 best_score=121.43972222222223
[2026-03-10T16:01:54.973732] status=running completed=701/1200 metric=constrained_operational best_episode=250 best_score=121.43972222222223
[2026-03-10T16:02:40.187216] status=running completed=751/1200 metric=constrained_operational best_episode=250 best_score=121.43972222222223
[2026-03-10T16:03:26.625209] status=running completed=801/1200 metric=constrained_operational best_episode=250 best_score=121.43972222222223
[2026-03-10T16:04:11.498892] status=running completed=851/1200 metric=constrained_operational best_episode=250 best_score=121.43972222222223
[2026-03-10T16:04:56.661248] status=running completed=901/1200 metric=constrained_operational best_episode=250 best_score=121.43972222222223
[2026-03-10T16:05:43.068234] status=running completed=951/1200 metric=constrained_operational best_episode=250 best_score=121.43972222222223
[2026-03-10T16:06:28.410124] status=running completed=1001/1200 metric=constrained_operational best_episode=250 best_score=121.43972222222223
[2026-03-10T16:07:18.111963] status=running completed=1051/1200 metric=constrained_operational best_episode=250 best_score=121.43972222222223
[2026-03-10T16:08:07.429041] status=running completed=1101/1200 metric=constrained_operational best_episode=250 best_score=121.43972222222223
[2026-03-10T16:08:57.295027] status=running completed=1151/1200 metric=constrained_operational best_episode=250 best_score=121.43972222222223
[2026-03-10T16:09:45.814781] status=running completed=1200/1200 metric=constrained_operational best_episode=250 best_score=121.43972222222223
[2026-03-10T16:10:33.964959] status=completed completed=1200/1200 metric=constrained_operational best_episode=300 best_score=110.04866382721222
